step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
181,2024-05-07,2,1000.9124327697754,0.0,177.80999755859375,1000.9124327697754,[-0.2],0.0,0.0
182,2024-05-08,2,1000.9124327697754,0.0,174.72000122070312,1000.9124327697754,[-0.2],0.0,0.0
183,2024-05-09,2,1000.9124327697754,0.0,171.97000122070312,1000.9124327697754,[-0.2],0.0,0.0
184,2024-05-10,2,1000.9124327697754,0.0,168.47000122070312,1000.9124327697754,[-0.2],0.0,0.0
185,2024-05-13,2,1000.9124327697754,0.0,171.88999938964844,1000.9124327697754,[-0.2],0.0,0.0
186,2024-05-14,2,1000.9124327697754,0.0,177.5500030517578,1000.9124327697754,[-0.2],0.0,0.0
187,2024-05-15,2,1000.9124327697754,0.0,173.99000549316406,1000.9124327697754,[-0.2],0.0,0.0
188,2024-05-16,2,1000.9124327697754,0.0,174.83999633789062,1000.9124327697754,[-0.2],0.0,0.0
189,2024-05-17,2,1000.9124327697754,0.0,177.4600067138672,1000.9124327697754,[-0.2],0.0,0.0
190,2024-05-20,2,1000.9124327697754,0.0,174.9499969482422,1000.9124327697754,[-0.2],0.0,0.0
191,2024-05-21,2,1000.9124327697754,0.0,186.6000061035156,1000.9124327697754,[-0.2],0.0,0.0
192,2024-05-22,2,1000.9124327697754,0.0,180.11000061035156,1000.9124327697754,[-0.2],0.0,0.0
193,2024-05-23,2,1000.9124327697754,0.0,173.74000549316406,1000.9124327697754,[-0.2],0.0,0.0
194,2024-05-24,2,1000.9124327697754,0.0,179.24000549316406,1000.9124327697754,[-0.2],0.0,0.0
195,2024-05-28,2,1000.9124327697754,0.0,176.75,1000.9124327697754,[-0.2],0.0,0.0
196,2024-05-29,0,1000.9124327697754,0.0,176.19000244140625,1000.9124327697754,[-0.105],0.0,0.0
197,2024-05-30,2,1000.9124327697754,0.0,178.7899932861328,1000.9124327697754,[-0.2],0.0,0.0
198,2024-05-31,2,1000.9124327697754,0.0,178.0800018310547,1000.9124327697754,[-0.2],0.0,0.0
199,2024-06-03,2,1000.9124327697754,0.0,176.2899932861328,1000.9124327697754,[-0.2],0.0,0.0
200,2024-06-04,2,1000.9124327697754,0.0,174.77000427246094,1000.9124327697754,[-0.2],0.0,0.0
201,2024-06-05,2,1000.9124327697754,0.0,175.0,1000.9124327697754,[-0.2],0.0,0.0
202,2024-06-06,2,1000.9124327697754,0.0,177.94000244140625,1000.9124327697754,[-0.2],0.0,0.0
203,2024-06-07,2,1000.9124327697754,0.0,177.47999572753906,1000.9124327697754,[-0.2],0.0,0.0
204,2024-06-10,2,1000.9124327697754,0.0,173.7899932861328,1000.9124327697754,[-0.2],0.0,0.0
205,2024-06-11,2,1000.9124327697754,0.0,170.66000366210938,1000.9124327697754,[-0.2],0.0,0.0
206,2024-06-12,2,1000.9124327697754,0.0,177.2899932861328,1000.9124327697754,[-0.2],0.0,0.0
207,2024-06-13,2,1000.9124327697754,0.0,182.47000122070312,1000.9124327697754,[-0.2],0.0,0.0
208,2024-06-14,2,1000.9124327697754,0.0,178.00999450683594,1000.9124327697754,[-0.2],0.0,0.0
209,2024-06-17,2,1000.9124327697754,0.0,187.44000244140625,1000.9124327697754,[-0.2],0.0,0.0
210,2024-06-18,2,1000.9124327697754,0.0,184.8600006103516,1000.9124327697754,[-0.2],0.0,0.0
211,2024-06-20,2,1000.9124327697754,0.0,181.57000732421875,1000.9124327697754,[-0.2],0.0,0.0
212,2024-06-21,2,1000.9124327697754,0.0,183.009994506836,1000.9124327697754,[-0.2],0.0,0.0
213,2024-06-24,2,1000.9124327697754,0.0,182.5800018310547,1000.9124327697754,[-0.2],0.0,0.0
214,2024-06-25,2,1000.9124327697754,0.0,187.3500061035156,1000.9124327697754,[-0.2],0.0,0.0
215,2024-06-26,2,1000.9124327697754,0.0,196.3699951171875,1000.9124327697754,[-0.2],0.0,0.0
216,2024-06-27,2,1000.9124327697754,0.0,197.4199981689453,1000.9124327697754,[-0.2],0.0,0.0
217,2024-06-28,2,1000.9124327697754,0.0,197.8800048828125,1000.9124327697754,[-0.2],0.0,0.0
218,2024-07-01,2,1000.9124327697754,0.0,209.8600006103516,1000.9124327697754,[-0.2],0.0,0.0
219,2024-07-02,2,1000.9124327697754,0.0,231.259994506836,1000.9124327697754,[-0.2],0.0,0.0
220,2024-07-03,2,1000.9124327697754,0.0,246.38999938964844,1000.9124327697754,[-0.2],0.0,0.0
221,2024-07-05,2,1000.9124327697754,0.0,251.5200042724609,1000.9124327697754,[-0.2],0.0,0.0
222,2024-07-08,2,1000.9124327697754,0.0,252.94000244140625,1000.9124327697754,[-0.2],0.0,0.0
223,2024-07-09,2,1000.9124327697754,0.0,262.3299865722656,1000.9124327697754,[-0.2],0.0,0.0
224,2024-07-10,2,1000.9124327697754,0.0,263.260009765625,1000.9124327697754,[-0.2],0.0,0.0
225,2024-07-11,2,1000.9124327697754,0.0,241.02999877929688,1000.9124327697754,[-0.2],0.0,0.0
226,2024-07-12,2,1000.9124327697754,0.0,248.22999572753903,1000.9124327697754,[-0.2],0.0,0.0
227,2024-07-15,2,1000.9124327697754,0.0,252.63999938964844,1000.9124327697754,[-0.2],0.0,0.0
228,2024-07-16,2,1000.9124327697754,0.0,256.5599975585937,1000.9124327697754,[-0.2],0.0,0.0
229,2024-07-17,2,1000.9124327697754,0.0,248.5,1000.9124327697754,[-0.2],0.0,0.0
230,2024-07-18,2,1000.9124327697754,0.0,249.22999572753903,1000.9124327697754,[-0.2],0.0,0.0
231,2024-07-19,2,1000.9124327697754,0.0,239.1999969482422,1000.9124327697754,[-0.2],0.0,0.0
232,2024-07-22,2,1000.9124327697754,0.0,251.509994506836,1000.9124327697754,[-0.2],0.0,0.0
233,2024-07-23,2,1000.9124327697754,0.0,246.3800048828125,1000.9124327697754,[-0.2],0.0,0.0
234,2024-07-24,2,1000.9124327697754,0.0,215.9900054931641,1000.9124327697754,[-0.2],0.0,0.0
235,2024-07-25,2,1000.9124327697754,0.0,220.25,1000.9124327697754,[-0.2],0.0,0.0
236,2024-07-26,2,1000.9124327697754,0.0,219.8000030517578,1000.9124327697754,[-0.2],0.0,0.0
237,2024-07-29,2,1000.9124327697754,0.0,232.1000061035156,1000.9124327697754,[-0.2],0.0,0.0
238,2024-07-30,2,1000.9124327697754,0.0,222.6199951171875,1000.9124327697754,[-0.2],0.0,0.0
239,2024-07-31,2,1000.9124327697754,0.0,232.07000732421875,1000.9124327697754,[-0.2],0.0,0.0
240,2024-08-01,2,1000.9124327697754,0.0,216.8600006103516,1000.9124327697754,[-0.2],0.0,0.0
241,2024-08-02,2,1000.9124327697754,0.0,207.6699981689453,1000.9124327697754,[-0.2],0.0,0.0
242,2024-08-05,2,1000.9124327697754,0.0,198.8800048828125,1000.9124327697754,[-0.2],0.0,0.0
243,2024-08-06,2,1000.9124327697754,0.0,200.63999938964844,1000.9124327697754,[-0.2],0.0,0.0
244,2024-08-07,2,1000.9124327697754,0.0,191.759994506836,1000.9124327697754,[-0.2],0.0,0.0
245,2024-08-08,2,1000.9124327697754,0.0,198.83999633789065,1000.9124327697754,[-0.2],0.0,0.0
246,2024-08-09,2,1000.9124327697754,0.0,200.0,1000.9124327697754,[-0.2],0.0,0.0
247,2024-08-12,2,1000.9124327697754,0.0,197.4900054931641,1000.9124327697754,[-0.2],0.0,0.0
248,2024-08-13,2,1000.9124327697754,0.0,207.8300018310547,1000.9124327697754,[-0.2],0.0,0.0
249,2024-08-14,2,1000.9124327697754,0.0,201.3800048828125,1000.9124327697754,[-0.2],0.0,0.0
250,2024-08-15,2,1000.9124327697754,0.0,214.13999938964844,1000.9124327697754,[-0.2],0.0,0.0
251,2024-08-16,2,1000.9124327697754,0.0,216.1199951171875,1000.9124327697754,[-0.2],0.0,0.0
252,2024-08-19,2,1000.9124327697754,0.0,222.72000122070312,1000.9124327697754,[-0.2],0.0,0.0
253,2024-08-20,2,1000.9124327697754,0.0,221.1000061035156,1000.9124327697754,[-0.2],0.0,0.0
254,2024-08-21,2,1000.9124327697754,0.0,223.2700042724609,1000.9124327697754,[-0.2],0.0,0.0
255,2024-08-22,2,1000.9124327697754,0.0,210.6600036621093,1000.9124327697754,[-0.2],0.0,0.0
256,2024-08-23,2,1000.9124327697754,0.0,220.32000732421875,1000.9124327697754,[-0.2],0.0,0.0
257,2024-08-26,2,1000.9124327697754,0.0,213.2100067138672,1000.9124327697754,[-0.2],0.0,0.0
258,2024-08-27,2,1000.9124327697754,0.0,209.2100067138672,1000.9124327697754,[-0.2],0.0,0.0
259,2024-08-28,2,1000.9124327697754,0.0,205.75,1000.9124327697754,[-0.2],0.0,0.0
260,2024-08-29,2,1000.9124327697754,0.0,206.27999877929688,1000.9124327697754,[-0.2],0.0,0.0
261,2024-08-30,2,1000.9124327697754,0.0,214.1100006103516,1000.9124327697754,[-0.2],0.0,0.0
262,2024-09-03,2,1000.9124327697754,0.0,210.6000061035156,1000.9124327697754,[-0.2],0.0,0.0
