step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward
135,2025-04-02,0,4662.910454981145,0.12965806501038935,3139.89990234375,2588.0,5070.0238006453465,0.0989999994635582
136,2025-04-03,0,4662.910454981145,0.12965806501038935,3097.0,2588.0,5064.461482318321,0.0989999994635582
137,2025-04-04,0,4662.910454981145,0.12965806501038935,3012.0,2588.0,5053.440546792438,0.0989999994635582
138,2025-04-07,0,4662.910454981145,0.12965806501038935,2951.300048828125,2588.0,5045.5703085772675,0.09669831395149231
139,2025-04-08,0,4662.910454981145,0.12965806501038935,2968.39990234375,2588.0,5047.787442496065,0.09632810950279236
140,2025-04-09,0,4662.910454981145,0.12965806501038935,3056.5,2588.0,5059.210330685401,0.0962739810347557
141,2025-04-10,0,4662.910454981145,0.12965806501038935,3155.199951171875,2588.0,5072.007575370966,0.09646221250295639
142,2025-04-11,0,4662.910454981145,0.12965806501038935,3222.199951171875,2588.0,5080.694665726662,0.09670548141002655
143,2025-04-14,0,4662.910454981145,0.12965806501038935,3204.800048828125,2588.0,5078.438628057402,0.09685686230659485
144,2025-04-15,0,4662.910454981145,0.12965806501038935,3218.699951171875,2588.0,5080.240862499126,0.0967382863163948
145,2025-04-16,0,4662.910454981145,0.12965806501038935,3326.60009765625,2588.0,5094.230986706627,0.09678450971841812
146,2025-04-17,0,4662.910454981145,0.12965806501038935,3308.699951171875,2588.0,5091.9100883500605,0.04899999871850014
147,2025-04-21,0,4662.910454981145,0.12965806501038935,3406.199951171875,2588.0,5104.551749688573,0.0989999994635582
148,2025-04-22,0,4662.910454981145,0.12965806501038935,3400.800048828125,2588.0,5103.851608799438,0.0989999994635582
149,2025-04-23,0,4662.910454981145,0.12965806501038935,3276.300048828125,2588.0,5087.709179705645,0.0989999994635582
150,2025-04-24,0,4662.910454981145,0.12965806501038935,3332.0,2588.0,5094.9311275957625,0.09694083034992218
151,2025-04-25,0,4662.910454981145,0.12965806501038935,3282.39990234375,2588.0,5088.500074909327,0.0989999994635582
152,2025-04-28,0,4662.910454981145,0.12965806501038935,3332.5,2588.0,5094.995956628268,0.09686145186424255
153,2025-04-29,0,4662.910454981145,0.12965806501038935,3318.800048828125,2588.0,5093.219647468586,0.09689939022064209
154,2025-04-30,0,4662.910454981145,0.12965806501038935,3305.0,2588.0,5091.430359840482,0.09669362008571625
155,2025-05-01,0,4662.910454981145,0.12965806501038935,3210.0,2588.0,5079.112843664495,0.09643785655498505
156,2025-05-02,0,4720.257553213063,0.11189622074874528,3231.89990234375,2588.0,5081.894938123568,0.31390783190727234
157,2025-05-05,0,4770.738658281116,0.09663585896949767,3311.300048828125,2588.0,5090.728982805362,0.3260587155818939
158,2025-05-06,0,4770.738658281116,0.09663585896949767,3411.39990234375,2588.0,5100.4022181325645,0.0961875319480896
159,2025-05-07,0,4770.738658281116,0.09663585896949767,3381.39990234375,2588.0,5097.50314236348,0.09634647518396378
160,2025-05-08,0,4770.738658281116,0.09663585896949767,3296.60009765625,2588.0,5089.308440397058,0.09605539590120316
161,2025-05-09,0,4770.738658281116,0.09663585896949767,3335.39990234375,2588.0,5093.057892850883,0.09566081315279007
162,2025-05-12,0,4770.738658281116,0.09663585896949767,3220.0,2588.0,5081.906124162899,0.09563601016998291
163,2025-05-13,0,4820.793560089627,0.08117278269251901,3240.300048828125,2588.0,5083.817731811711,0.35282984375953674
164,2025-05-14,0,4820.793560089627,0.08117278269251901,3181.39990234375,2588.0,5079.036643020578,0.09533054381608963
165,2025-05-15,0,4820.793560089627,0.08117278269251901,3220.699951171875,2588.0,5082.226737343908,0.09499838203191757
166,2025-05-16,0,4820.793560089627,0.08117278269251901,3182.0,2588.0,5079.085354617223,0.09497357159852982
167,2025-05-19,0,4820.793560089627,0.08117278269251901,3228.89990234375,2588.0,5082.892350198472,0.09468085318803787
168,2025-05-20,0,4820.793560089627,0.08117278269251901,3280.300048828125,2588.0,5087.064643119412,0.0946652814745903
169,2025-05-21,0,4820.793560089627,0.08117278269251901,3309.300048828125,2588.0,5089.418653817495,0.09470853954553604
170,2025-05-22,0,4820.793560089627,0.08117278269251901,3292.300048828125,2588.0,5088.038716511723,0.09474862366914749
171,2025-05-23,0,4820.793560089627,0.08117278269251901,3363.60009765625,2588.0,5093.826339881213,0.09460461139678955
172,2025-05-27,0,4820.793560089627,0.08117278269251901,3299.10009765625,2588.0,5088.590695397546,0.09476963430643082
173,2025-05-28,0,4820.793560089627,0.08117278269251901,3293.60009765625,2588.0,5088.144245092737,0.09449335932731628
174,2025-05-29,0,4820.793560089627,0.08117278269251901,3317.10009765625,2588.0,5090.051805486011,0.09448769688606262
175,2025-05-30,0,4820.793560089627,0.08117278269251901,3288.89990234375,2588.0,5087.762717160023,0.09466886520385742
176,2025-06-02,0,4871.232330191488,0.06619347399424605,3370.60009765625,2588.0,5094.3440601007,0.40160343050956726
177,2025-06-03,0,4871.232330191488,0.06619347399424605,3350.199951171875,2588.0,5092.993703534908,0.09480754286050797
178,2025-06-04,0,4871.232330191488,0.06619347399424605,3373.5,2588.0,5094.536014711077,0.09463804960250854
179,2025-06-05,0,4871.232330191488,0.06619347399424605,3350.699951171875,2588.0,5093.026800271905,0.09469682723283768
180,2025-06-06,0,4871.232330191488,0.06619347399424605,3322.699951171875,2588.0,5091.173383000066,0.09454450756311417
181,2025-06-09,0,4871.232330191488,0.06619347399424605,3332.10009765625,2588.0,5091.795611351921,0.09441816806793213
182,2025-06-10,0,4871.232330191488,0.06619347399424605,3320.89990234375,2588.0,5091.054231514773,0.09435784071683884
183,2025-06-11,0,4871.232330191488,0.06619347399424605,3321.300048828125,2588.0,5091.0807186006805,0.09421246498823166
