step,date,action,balance,shares_held,price,total_asset,reward
220,2024-05-17,2,1002.5687920570373,0,17.498268127441406,1002.5687920570373,[0.]
221,2024-05-20,2,1002.5687920570373,0,17.527612686157227,1002.5687920570373,[0.]
222,2024-05-21,2,1002.5687920570373,0,17.410242080688477,1002.5687920570373,[0.]
223,2024-05-22,2,1002.5687920570373,0,16.911407470703125,1002.5687920570373,[0.]
224,2024-05-23,2,1002.5687920570373,0,16.569072723388672,1002.5687920570373,[0.]
225,2024-05-24,2,1002.5687920570373,0,16.647319793701172,1002.5687920570373,[0.]
226,2024-05-28,2,1002.5687920570373,0,17.058124542236328,1002.5687920570373,[0.]
227,2024-05-29,1,951.3508780899048,3,16.549509048461914,1000.9994052352905,[-0.20521376]
228,2024-05-30,1,899.838939289093,6,16.735349655151367,1000.2510372200012,[-0.05514087]
229,2024-05-31,2,1004.6185688362121,0,16.814058303833008,1004.6185688362121,[0.9895014]
230,2024-06-03,2,1004.6185688362121,0,17.138731002807617,1004.6185688362121,[0.]
231,2024-06-04,2,1004.6185688362121,0,16.223743438720703,1004.6185688362121,[0.]
232,2024-06-05,2,1004.6185688362121,0,16.430355072021484,1004.6185688362121,[0.]
233,2024-06-06,0,1004.6185688362121,0,17.04034423828125,1004.6185688362121,[0.]
234,2024-06-07,2,1004.6185688362121,0,15.88923454284668,1004.6185688362121,[0.]
235,2024-06-10,2,1004.6185688362121,0,16.184391021728516,1004.6185688362121,[0.]
236,2024-06-11,2,1004.6185688362121,0,15.91875171661377,1004.6185688362121,[0.]
237,2024-06-12,2,1004.6185688362121,0,16.13519859313965,1004.6185688362121,[0.]
238,2024-06-13,2,1004.6185688362121,0,15.81052589416504,1004.6185688362121,[0.]
239,2024-06-14,2,1004.6185688362121,0,15.771173477172852,1004.6185688362121,[0.]
240,2024-06-17,2,1004.6185688362121,0,15.879396438598633,1004.6185688362121,[0.]
241,2024-06-18,2,1004.6185688362121,0,16.145036697387695,1004.6185688362121,[0.]
242,2024-06-20,2,1004.6185688362121,0,16.686155319213867,1004.6185688362121,[0.]
243,2024-06-21,2,1004.6185688362121,0,16.29261589050293,1004.6185688362121,[0.]
244,2024-06-24,2,1004.6185688362121,0,16.450031280517578,1004.6185688362121,[0.]
245,2024-06-25,2,1004.6185688362121,0,16.322132110595703,1004.6185688362121,[0.]
246,2024-06-26,2,1004.6185688362121,0,16.52873992919922,1004.6185688362121,[0.]
247,2024-06-27,2,1004.6185688362121,0,16.56809425354004,1004.6185688362121,[0.]
248,2024-06-28,2,1004.6185688362121,0,16.410676956176758,1004.6185688362121,[0.]
249,2024-07-01,2,1004.6185688362121,0,16.29261589050293,1004.6185688362121,[0.]
250,2024-07-02,2,1004.6185688362121,0,16.351648330688477,1004.6185688362121,[0.]
251,2024-07-03,2,1004.6185688362121,0,17.020666122436523,1004.6185688362121,[0.]
252,2024-07-05,2,1004.6185688362121,0,17.158409118652344,1004.6185688362121,[0.]
253,2024-07-08,2,1004.6185688362121,0,17.099376678466797,1004.6185688362121,[0.]
254,2024-07-09,2,1004.6185688362121,0,17.158409118652344,1004.6185688362121,[0.]
255,2024-07-10,2,1004.6185688362121,0,17.492918014526367,1004.6185688362121,[0.]
256,2024-07-11,2,1004.6185688362121,0,17.837263107299805,1004.6185688362121,[0.]
257,2024-07-12,2,1004.6185688362121,0,18.2209701538086,1004.6185688362121,[0.]
258,2024-07-15,2,1004.6185688362121,0,18.063552856445312,1004.6185688362121,[0.]
259,2024-07-16,2,1004.6185688362121,0,18.939180374145508,1004.6185688362121,[0.]
260,2024-07-17,2,1004.6185688362121,0,18.57515525817871,1004.6185688362121,[0.]
261,2024-07-18,2,1004.6185688362121,0,18.24064826965332,1004.6185688362121,[0.]
262,2024-07-19,2,1004.6185688362121,0,18.093067169189453,1004.6185688362121,[0.]
263,2024-07-22,2,1004.6185688362121,0,18.063552856445312,1004.6185688362121,[0.]
264,2024-07-23,2,1004.6185688362121,0,18.270160675048828,1004.6185688362121,[0.]
265,2024-07-24,2,1004.6185688362121,0,18.161937713623047,1004.6185688362121,[0.]
266,2024-07-25,2,1004.6185688362121,0,17.43388557434082,1004.6185688362121,[0.]
267,2024-07-26,2,1004.6185688362121,0,17.502756118774414,1004.6185688362121,[0.]
268,2024-07-29,2,1004.6185688362121,0,17.67984962463379,1004.6185688362121,[0.]
269,2024-07-30,2,1004.6185688362121,0,17.847105026245117,1004.6185688362121,[0.]
270,2024-07-31,2,1004.6185688362121,0,18.21113014221192,1004.6185688362121,[0.]
271,2024-08-01,2,1004.6185688362121,0,17.94548988342285,1004.6185688362121,[0.]
272,2024-08-02,2,1004.6185688362121,0,17.620819091796875,1004.6185688362121,[0.]
